answer,current_clue,source_type,source_id,canonical_slug,source_ref,evidence_page_url,approved_count,fallback_used,rejected_candidates,rejected_reason_codes,manual_clue,reason_codes,reason_details,status
BUGINIUM Z HELD,Bug-move Z crystal,item,828,,https://pokeapi.co/api/v2/item/828/,,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BULLETPROOF,Weather-linked trait,ability,171,,https://pokeapi.co/api/v2/ability/171/,https://bulbapedia.bulbagarden.net/wiki/Bulletproof_(Ability),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BURN DRIVE,Species-linked power item,item,565,,https://pokeapi.co/api/v2/item/565/,https://bulbapedia.bulbagarden.net/wiki/Burn_Drive,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BURN HEAL,burning item,item,19,,https://pokeapi.co/api/v2/item/19/,https://bulbapedia.bulbagarden.net/wiki/Burn_Heal,3,false,,,,duplicate_surface,duplicate_surface,needs_review
BUTTER,Berry-blending ingredient,item,1707,,https://pokeapi.co/api/v2/item/1707/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CALMING,Soothing trait,ability,10037,,https://pokeapi.co/api/v2/ability/10037/,,3,false,,,,duplicate_surface,duplicate_surface,needs_review
CAMOUFLAGE,Normal status move,move,293,,https://pokeapi.co/api/v2/move/293/,https://bulbapedia.bulbagarden.net/wiki/Camouflage_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CANYON BIOME,Paldea landmark,location,1076,,https://pokeapi.co/api/v2/location/1076/,https://bulbapedia.bulbagarden.net/wiki/Canyon_Biome,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CANYON PLAZA,Paldea landmark,location,1077,,https://pokeapi.co/api/v2/location/1077/,https://bulbapedia.bulbagarden.net/wiki/Canyon_Plaza,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CARBOS,Pokemon That Drink It By Speed boost item,item,48,,https://pokeapi.co/api/v2/item/48/,https://bulbapedia.bulbagarden.net/wiki/Carbos,3,false,,,,duplicate_surface,duplicate_surface,needs_review
CARD KEY,Unlocks progression content,item,475,,https://pokeapi.co/api/v2/item/475/,https://bulbapedia.bulbagarden.net/wiki/Card_Key,1,false,Opens Locked Doors At Silph Co || Story or event key item,near_verbatim_source || answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CARD KEY LETSGO,Unlocks progression content,item,1023,,https://pokeapi.co/api/v2/item/1023/,,1,false,Story or event key item || Plot-critical key,answer_fragment_leak || answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CASSEROYA LAKE,Paldea landmark,location,857,,https://pokeapi.co/api/v2/location/857/,https://bulbapedia.bulbagarden.net/wiki/Casseroya_Lake,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CASTAWAY SHORE,Hisui landmark,location,963,,https://pokeapi.co/api/v2/location/963/,https://bulbapedia.bulbagarden.net/wiki/Castaway_Shore,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CASTELIACONE,Gen V status cures,item,632,,https://pokeapi.co/api/v2/item/632/,https://bulbapedia.bulbagarden.net/wiki/Casteliacone,2,false,,,,needs_more_crossword_clues|duplicate_surface|needs_more_crossword_clues,"needs_more_crossword_clues, duplicate_surface, needs_more_crossword_clues",needs_review
CAVE OF BEING,Unova landmark,location,555,,https://pokeapi.co/api/v2/location/555/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CAVE OF ORIGIN,Hoenn landmark,location,443,,https://pokeapi.co/api/v2/location/443/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CELEBRATE,Normal status move,move,606,,https://pokeapi.co/api/v2/move/606/,https://bulbapedia.bulbagarden.net/wiki/Celebrate_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CHALKY STONE,Valuable sellable loot,item,1025,,https://pokeapi.co/api/v2/item/1025/,https://bulbapedia.bulbagarden.net/wiki/Chalky_Stone,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CHEEK POUCH,healing trait,ability,167,,https://pokeapi.co/api/v2/ability/167/,https://bulbapedia.bulbagarden.net/wiki/Cheek_Pouch_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CHILI SAUCE,Berry-blending ingredient,item,1709,,https://pokeapi.co/api/v2/item/1709/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CHILL DRIVE,Species-linked power item,item,566,,https://pokeapi.co/api/v2/item/566/,https://bulbapedia.bulbagarden.net/wiki/Chill_Drive,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CHILLING NEIGH,Attack snowball trait,ability,264,,https://pokeapi.co/api/v2/ability/264/,https://bulbapedia.bulbagarden.net/wiki/Chilling_Neigh_(Ability),3,false,,,,editorial_seed_used,editorial_seed_used,approved
CHIPPED POT,Evolution-trigger item,item,1312,,https://pokeapi.co/api/v2/item/1312/,https://bulbapedia.bulbagarden.net/wiki/Chipped_Pot,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CHOICE SPECS,Held battle item,item,274,,https://pokeapi.co/api/v2/item/274/,https://bulbapedia.bulbagarden.net/wiki/Choice_Specs,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CHORIZO,Berry-blending ingredient,item,1738,,https://pokeapi.co/api/v2/item/1738/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CLEANSE TAG,Held battle item,item,201,,https://pokeapi.co/api/v2/item/201/,https://bulbapedia.bulbagarden.net/wiki/Cleanse_Tag,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CLEAR AMULET,Held battle item,item,1698,,https://pokeapi.co/api/v2/item/1698/,https://bulbapedia.bulbagarden.net/wiki/Clear_Amulet,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CLEVER MOCHI,Gen IX vitamins,item,2116,,https://pokeapi.co/api/v2/item/2116/,https://bulbapedia.bulbagarden.net/wiki/Clever_Mochi,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CLEVER WING,Gen V vitamins,item,610,,https://pokeapi.co/api/v2/item/610/,https://bulbapedia.bulbagarden.net/wiki/Clever_Feather,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CLIMBER,Wall-Scaling trait,ability,10053,,https://pokeapi.co/api/v2/ability/10053/,,3,false,,,,duplicate_surface,duplicate_surface,needs_review
CLOUDCAP PASS,Hisui landmark,location,967,,https://pokeapi.co/api/v2/location/967/,https://bulbapedia.bulbagarden.net/wiki/Cloudcap_Pass,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
CLOVER SWEET,Evolution-trigger item,item,1170,,https://pokeapi.co/api/v2/item/1170/,https://bulbapedia.bulbagarden.net/wiki/Clover_Sweet,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
COACHING,Fighting status move,move,811,,https://pokeapi.co/api/v2/move/811/,https://bulbapedia.bulbagarden.net/wiki/Coaching_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
