answer,clue 1,clue 2,clue 3,clue 4,clue 5
AERODACTYL,Fossil Pokemon,Mega form turns Rock/Flying,Flying egg-group species,,
AERODACTYLITE,Aerodactyl Mega stone,Mega Evolution stone,Held stone for Aerodactyl,Held Mega stone,Mega trigger stone
AFTERMATH,Punishes contact attackers,Damages foes on contact KO,Contact-backlash trait,,
AFTER YOU,Normal status move,turn-ordering move,Gen V Normal move,,
AGGRON,Iron Armor Pokemon,Gen III Steel/Rock species,Evolves from Lairon,Mega-evolving species,Monster egg-group species
AGGRONITE,Aggron Mega stone,Mega Evolution stone,Held stone for Aggron,Held Mega stone,Mega trigger stone
AGILITY,Psychic status move,Gen I Psychic move,boosting move,,
AGUAV BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Pinch-healing berry,Half-HP recovery berry
AIPOM,Long Tail Pokemon,Gen II Normal species,Ground egg-group species,,
AIPOM HILL,Bay-side landmark,Hisui landmark,,,
AIR BALLOON,Blocks Ground-type moves,Pops after taking a hit,Ground-immunity held item,,
AIR CUTTER,Flying special move,critical-hit move,Gen III Flying move,60-power move,
AIR LOCK,Cancels weather effects,Rayquaza's signature Ability,Turns weather ineffective,Weather-clearing trait,
AIR SLASH,Flying special move,Gen IV Flying move,75-power move,flinch-causing move,
AKALA MEADOW,Alola landmark,Alola meadow,,,
ALAKAZAM,Psi Pokemon,Gen I Psychic species,Evolves from Kadabra,Mega-evolving species,Humanshape egg-group species
ALAKAZITE,Alakazam Mega stone,Mega Evolution stone,Held stone for Alakazam,Held Mega stone,Mega trigger stone
ALCREMIE,Cream Pokemon,Gen VIII Fairy species,Evolves from Milcery,Fairy egg-group species,
ALFORNADA,Paldea town,Paldea landmark,Town-side landmark,Town in Paldea,
ALLURING VOICE,Confusion-causing move,Fairy special move,Gen IX Fairy move,80-power move,boosting move
ALLY SWITCH,Psychic status move,Gen V Psychic move,priority move,switching move,
ALOMOMOLA,Caring Pokemon,Gen V Water species,Water1 egg-group species,,
ALTARIA,Humming Pokemon,Mega form turns Dragon/Fairy,Gen III Dragon/Flying species,Evolves from Swablu,Flying egg-group species
ALTARIANITE,Altaria Mega stone,Mega Evolution stone,Held stone for Altaria,Held Mega stone,Mega trigger stone
AMAURA,Tundra Pokemon,Monster egg-group species,,,
AMBIPOM,Long Tail Pokemon,Gen IV Normal species,Evolves from Aipom,Ground egg-group species,
AMBRETTE,Kalos town,Kalos landmark,Town-side landmark,Town in Kalos,
AMBRETTE GATE,Kalos route connector,Kalos landmark,Connector gate in Kalos,,
AMITY SQUARE,Sinnoh city,Sinnoh landmark,Urban landmark,City in Sinnoh,
AMNESIA,Psychic status move,Gen I Psychic move,boosting move,,
AMOONGUSS,Paradox Pokemon,Gen V Mushroom Pokemon,Gen V Grass/Poison species,Evolves from Foongus,Plant egg-group species
AMPHAROS,Light Pokemon,Mega form turns Electric/Dragon,Gen II Electric species,Evolves from Flaaffy,Monster egg-group species
AMPHAROSITE,Ampharos Mega stone,Mega Evolution stone,Held stone for Ampharos,Held Mega stone,Mega trigger stone
AMULET COIN,Doubles prize money,Battle-payout doubler,Money-boosting held item,,
ANALYTIC,Boosts moves when acting last,Stronger when it moves last,Late-turn power boost,,
ANCHOR SHOT,Steel physical move,Gen VII Steel move,80-power move,,
ANCIENT POWER,Rock special move,Gen II Rock move,boosting move,,
ANCIENT QUARRY,Hisui landmark,Located in The Southern Region Of The Coronet Highlands Of Hisui,,,
ANCIENT TOMB,Hoenn route,Hoenn landmark,Route in Hoenn,,
ANGER POINT,Maxes Attack after a critical hit,Critical-hit rage trait,Attack-spiking crit trait,boosting trait,
ANGER SHELL,Klawf's signature Ability,boosting trait,debuffing trait,,
ANISTAR,Kalos city,Kalos landmark,Urban landmark,City in Kalos,
ANISTAR GATE,Kalos route connector,Kalos landmark,Connector gate in Kalos,,
ANNIHILAPE,Rage Monkey Pokemon,Gen IX Fighting/Ghost species,Evolves from Primeape,Ground egg-group species,
ANORITH,Old Shrimp Pokemon,Water3 egg-group species,,,
ANTICIPATION,Warns of dangerous moves,Alerts you to lethal threats,Move-sensing trait,Weather-linked trait,
ANTIDOTE,Safari Zone catcher,Great Marsh capture tool,,,
ANVILLE,Unova town,Unova landmark,Town-side landmark,Town in Unova,
APICOT BERRY,Power item for The Consumer By One Stage,The Consumer By One Stage-only held item,Poor on most other targets,Special Defense boost on trigger,Boosts Special Defense after the holder's hp drop to or below
APPLE ACID,Grass special move,Stat-lowering move,Gen VIII Grass move,80-power move,debuffing move
APPLE HILLS,Located in Kitakami,Paldea landmark,,,
APPLETUN,Dragon Pokemon,Gen VIII Apple Nectar Pokemon,Gen VIII Grass/Dragon species,Evolves from Applin,Plant egg-group species
APPLIN,Dragon Pokemon,Gen VIII Apple Core Pokemon,Gen VIII Grass/Dragon species,Plant egg-group species,
APRICORN BOX,Unlocks progression content,Progress-gating key item,Adventure utility item,,
AQUA BOOST,Water-Boosting ability,Water-Boosting power,,,
AQUACORDE,Kalos town,Kalos landmark,Town-side landmark,Town in Kalos,
AQUA CUTTER,Water physical move,critical-hit move,Gen IX Water move,70-power move,
AQUA JET,Water physical move,Gen IV Water move,40-power move,priority move,
AQUA RING,Water status move,Gen IV Water move,healing move,,
AQUA STEP,Water physical move,Gen IX Water move,80-power move,boosting move,
AQUA SUIT,Unlocks progression content,Progress-gating key item,Story-progress key item,Plot-critical key,
AQUA TAIL,Water physical move,Gen IV Water move,90-power move,,
ARAQUANID,Water Bubble Pokemon,Gen VII Water/Bug species,Evolves from Dewpider,Water1 egg-group species,
ARBOK,Cobra Pokemon,Gen I Poison species,Evolves from Ekans,Ground egg-group species,
ARBOLIVA,Olive Pokemon,Gen IX Grass/Normal species,Evolves from Dolliv,Plant egg-group species,
ARCANINE,Legendary Pokemon,Gen I Fire species,Evolves from Growlithe,Ground egg-group species,
ARCEUS,Mythical Pokemon,Gen IV Alpha Pokemon,No-Eggs egg-group species,,
ARCHALUDON,Dragon Pokemon,Gen IX Alloy Pokemon,Evolves from Duraludon,Mineral egg-group species,
ARCHEN,First Bird Pokemon,Flying egg-group species,,,
ARCHEOPS,First Bird Pokemon,Evolves from Archen,Flying egg-group species,,
ARCTIBAX,Ice Fin Pokemon,Gen IX Dragon/Ice species,Evolves from Frigibax,Dragon egg-group species,
ARCTOVISH,Fossil Pokemon,No-Eggs egg-group species,,,
ARCTOZOLT,Fossil Pokemon,No-Eggs egg-group species,,,
AREA ZERO,Paldea route connector,Connector gate in Paldea,Paldea gate,Paldea landmark,
ARENA TRAP,Prevents escape,Traps opposing Pokemon,No-escape battle trait,switching trait,
ARIADOS,Long Leg Pokemon,Gen II Bug/Poison species,Evolves from Spinarak,Bug egg-group species,
ARMALDO,Plate Pokemon,Evolves from Anorith,Water3 egg-group species,,
ARMAROUGE,Fire Warrior Pokemon,Gen IX Fire/Psychic species,Evolves from Charcadet,Humanshape egg-group species,
ARMOR CANNON,Fire special move,Gen IX Fire move,120-power move,debuffing move,
ARMOR FOSSIL,Revives into Shieldon,Gen IV relic for Shieldon,Prehistoric revival item,,
ARMORITE ORE,Tradable exchange item,Exchangeable collectible,Crafting or exchange material,Collectible crafting item,
ARMOR PASS,Unlocks progression content,Progress-gating key item,Story or event key item,Story-progress key item,Plot-critical key
ARMOR TAIL,Blocks incoming priority moves,Farigiraf's signature Ability,Priority-proof trait,Stops first-strike moves,
ARM THRUST,Fighting physical move,Gen III Fighting move,15-power move,,
AROMATHERAPY,Grass status move,Gen III Grass move,,,
AROMATIC MIST,Fairy status move,Gen VI Fairy move,boosting move,,
AROMATISSE,Fragrance Pokemon,Gen VI Fairy species,Evolves from Spritzee,Fairy egg-group species,
AROMA VEIL,Spritzee And Aromatisse's signature Ability,Protects allies from mental moves,Ally mind-shield trait,Guards teammates from mental disruption,protective trait
ARON,Iron Armor Pokemon,Gen III Steel/Rock species,Monster egg-group species,,
ARROKUDA,Rush Pokemon,Gen VIII Rush Pokemon,Gen VIII Water species,Water2 egg-group species,
ARTAZON,Paldea town,Paldea landmark,Town-side landmark,Town in Paldea,
ARTICUNO,Legendary Pokemon,Gen I Freeze Pokemon,No-Eggs egg-group species,,
ARTISAN CAVE,Hoenn landmark,Hoenn cave,,,
ASADO DESERT,Paldea city,Paldea landmark,Urban landmark,City in Paldea,
ASPEAR BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
ASPERTIA,Unova town,Unova landmark,Town-side landmark,Town in Unova,
ASPERTIA GATE,Unova route connector,Unova landmark,Connector gate in Unova,,
ASSAULT VEST,Forbids status moves,Power item for Status Moves,Status Moves-only held item,Raises Special Defense,Status Moves Special Def But Prevents The Use boost item
ASSIST,Normal status move,Gen III Normal move,,,
ASSURANCE,Dark physical move,Gen IV Dark move,60-power move,,
ASTONISH,Ghost physical move,Gen III Ghost move,30-power move,flinch-causing move,
ASTRAL BARRAGE,Ghost special move,Gen VIII Ghost move,120-power move,,
ATTACK ORDER,Bug physical move,critical-hit move,Gen IV Bug move,90-power move,
ATTRACT,Normal status move,Gen II Normal move,,,
AUDINITE,Audino Mega stone,Mega Evolution stone,Held stone for Audino,Mega trigger stone,
AUDINO,Hearing Pokemon,Mega form turns Normal/Fairy,Gen V Normal species,Fairy egg-group species,
AURA BREAK,Reverses dark and fairy auras,Turns aura boosts into penalties,,,
AURA SPHERE,Fighting special move,Gen IV Fighting move,80-power move,,
AURA WHEEL,Electric physical move,Gen VIII Electric move,110-power move,boosting move,protective move
AURORA BEAM,Ice special move,Gen I Ice move,65-power move,debuffing move,
AURORA TICKET,Event-only distribution item,Unlocks progression content,Event-only key item,Limited event key item,Progress-gating key item
AURORA VEIL,Ice status move,Gen VII Ice move,,,
AURORUS,Tundra Pokemon,Evolves from Amaura,Monster egg-group species,,
AUTOTOMIZE,Steel status move,Gen V Steel move,boosting move,,
AVALANCHE,Ice physical move,Gen IV Ice move,60-power move,,
AVALUGG,Iceberg Pokemon,Gen VI Ice species,Evolves from Bergmite,Monster egg-group species,
AVANCE TRAIL,Kalos landmark,Kalos route,Town-side landmark,Route in Kalos,
AWAKENING,Wakes a sleeping Pokemon,Sleep remedy,Sleep-curing item,,
AXE KICK,Fighting physical move,Gen IX Fighting move,120-power move,protective move,
AXEW,Tusk Pokemon,Gen V Dragon species,Monster egg-group species,,
AXEWS EYE,Galar landmark,,,,
AZALEA,Johto town,Johto landmark,Town-side landmark,Town in Johto,
AZELF,Legendary Pokemon,Gen IV Willpower Pokemon,No-Eggs egg-group species,,
AZUMARILL,Fairy Pokemon,Gen II Aqua Rabbit Pokemon,Gen II Water/Fairy species,Evolves from Marill,Water1 egg-group species
AZURE BAY,Island location,Kalos landmark,,,
AZURE FLUTE,Event-only distribution item,Unlocks progression content,Event-only key item,Limited event key item,Progress-gating key item
AZURILL,Polka Dot Pokemon,No-Eggs egg-group species,,,
BABIRI BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
BABY DOLL EYES,Fairy status move,Gen VI Fairy move,debuffing move,priority move,
BAD DREAMS,Damages sleeping foes,Darkrai's signature Ability,Nightmare-causing trait,Sleep-punishing trait,
BADDY BAD,Dark special move,Gen VII Dark move,80-power move,,
BAGON,Rock Head Pokemon,Gen III Dragon species,Dragon egg-group species,,
BALL FETCH,Yamper's signature Ability,Fetches a failed throw,Retrieves the first failed Poke Ball,Ball-returning trait,
BALLIMERE LAKE,Galar cave,Galar landmark,Cave in Galar,,
BALLONLEA,Galar town,Galar landmark,Town-side landmark,Town in Galar,
BALTOY,Clay Doll Pokemon,Gen III Ground/Psychic species,Mineral egg-group species,,
BANEFUL BUNKER,Poison status move,Gen VII Poison move,poisoning move,priority move,protective move
BANETTE,Marionette Pokemon,Gen III Ghost species,Evolves from Shuppet,Mega-evolving species,Indeterminate egg-group species
BANETTITE,Banette Mega stone,Mega Evolution stone,Held stone for Banette,Held Mega stone,Mega trigger stone
BARBARACLE,Collective Pokemon,Mega form turns Rock/Fighting,Gen VI Rock/Water species,Evolves from Binacle,Water3 egg-group species
BARB BARRAGE,Poison physical move,Gen VIII Poison move,60-power move,poisoning move,
BARBOACH,Whiskers Pokemon,Gen III Water/Ground species,Water2 egg-group species,,
BARRAGE,Normal physical move,Gen I Normal move,15-power move,,
BARRASKEWDA,Skewer Pokemon,Gen VIII Water species,Evolves from Arrokuda,Water2 egg-group species,
BARRIER,Psychic status move,Gen I Psychic move,boosting move,,
BASCULEGION,Big Fish Pokemon,Evolves from White-Striped,Water2 egg-group species,,
BASCULIN,Hostile Pokemon,Gen V Water species,Water2 egg-group species,,
BASEMENT KEY,Unlocks progression content,Story or event key item,,,
BASTIODON,Shield Pokemon,Evolves from Shieldon,Monster egg-group species,,
BATON PASS,Normal status move,Gen II Normal move,switching move,,
BATTERY,Boosts allies' Special Attack,Charjabug's signature Ability,Powers teammates' special moves,Ally special-move booster,
BATTLE ARCADE,Sinnoh landmark,Southeastern Battle Frontier site,,,
BATTLE ARMOR,Blocks critical hits,Critical-hit proof trait,protective trait,,
BATTLE BOND,Transforms after a knockout,Greninja's signature Ability,KO-triggered form change,Becomes Ash-Greninja after a KO,
BATTLE CASTLE,Sinnoh landmark,Southwestern Battle Frontier site,,,
BATTLE CHATEAU,Kalos route,Kalos landmark,Route in Kalos,,
BATTLE FACTORY,Sinnoh landmark,Battle Frontier facility,,,
BATTLEGROUND,Battle venue in the Survival Area,Buck's battle spot,Sinnoh landmark,,
BATTLE HALL,Sinnoh landmark,Northwestern Battle Frontier site,,,
BATTLE MAISON,Kalos city,Kalos landmark,Urban landmark,City in Kalos,
BATTLE PARK,Sinnoh landmark,Battle Frontier's Park,,,
BATTLE RESORT,Hoenn town,Hoenn landmark,Town-side landmark,Urban landmark,Town in Hoenn
BATTLE SUBWAY,Unova town,Unova landmark,Town-side landmark,Town in Unova,
BATTLE TOWER,Galar tower,Tower in Galar,Regional tower,Galar landmark,
BATTLE TREE,Alola tower,Tower in Alola,Regional tower,Island location,Alola landmark
BAXCALIBUR,legendary Pokemon,Gen IX Ice Dragon Pokemon,Mega form turns Dragon/Ice,Gen IX Dragon/Ice species,Evolves from Arctibax
BAYLEEF,Leaf Pokemon,Gen II Grass species,Evolves from Chikorita,Monster egg-group species,
BEADS OF RUIN,Lowers others' Special Defense,Global Special Defense debuff,Weakens every foe's Special Defense,debuffing trait,
BEAK BLAST,Flying physical move,burning move,Gen VII Flying move,100-power move,
BEARTIC,Freezing Pokemon,Gen V Ice species,Evolves from Cubchoo,Ground egg-group species,
BEAST BALL,Best used on Ultra Beasts,Poor on most other targets,Special Poke Ball,,
BEAST BOOST,Raises its highest stat after a knockout,The Ultra Beasts's signature Ability,Knockout snowball trait,boosting trait,
BEAT UP,Dark physical move,Gen II Dark move,,,
BEAUTIFLY,Butterfly Pokemon,Gen III Bug/Flying species,Evolves from Silcoon,Bug egg-group species,
BEEDRILL,Poison Bee Pokemon,Mega form turns Bug/Poison,Gen I Bug/Poison species,Evolves from Kakuna,Bug egg-group species
BEEDRILLITE,Beedrill Mega stone,Mega Evolution stone,Held stone for Beedrill,Mega trigger stone,
BEHEEYEM,Cerebral Pokemon,Gen V Psychic species,Evolves from Elgyem,Humanshape egg-group species,
BEHEMOTH BASH,Steel physical move,Gen VIII Steel move,100-power move,,
BEHEMOTH BLADE,Steel physical move,Gen VIII Steel move,100-power move,,
BELCH,Poison special move,Gen VI Poison move,120-power move,poisoning move,
BELDUM,Iron Ball Pokemon,Gen III Steel/Psychic species,Mineral egg-group species,,
BELLIBOLT,EleFrog Pokemon,Gen IX Electric species,Evolves from Tadbulb,Water1 egg-group species,
BELLOSSOM,Flower Pokemon,Gen II Grass species,Evolves from Gloom,Plant egg-group species,
BELLSPROUT,Flower Pokemon,Gen I Grass/Poison species,Plant egg-group species,,
BELL TOWER,Johto city,Johto landmark,Urban landmark,City in Johto,
BELLY DRUM,Normal status move,Gen II Normal move,,,
BERGMITE,Ice Chunk Pokemon,Gen VI Ice species,Monster egg-group species,,
BERRY FIELDS,Site on Route 7,Alola route,Alola landmark,Route in Alola,
BERRY FOREST,Island location,Kanto landmark,,,
BERRY JUICE,Restores 20 HP,20-HP restorative,,,
BERRY POUCH,Unlocks progression content,Progress-gating key item,Adventure utility item,,
BERRY SWEET,Milcery evolution item,Requires a spin while held,Spin-to-evolve held item,Evolution-trigger item,
BERSERK,Raises Special Attack below half HP,Drampa's signature Ability,Half-HP Special Attack spike,Special Attack boost when weakened,boosting trait
BESTOW,Normal status move,Gen V Normal move,,,
BEWEAR,Strong Arm Pokemon,Gen VII Normal/Fighting species,Evolves from Stufful,Ground egg-group species,
BIBAREL,Beaver Pokemon,Gen IV Normal/Water species,Evolves from Bidoof,Water1 egg-group species,
BICYCLE,Unlocks progression content,Tradable exchange item,Two-wheeled travel item,Progress-gating key item,Exchangeable collectible
BIDE,Normal physical move,Gen I Normal move,priority move,,
BIDOOF,Plump Mouse Pokemon,Gen IV Normal species,Water1 egg-group species,,
BIG MUSHROOM,Safari Zone catcher,Great Marsh capture tool,Valuable sellable loot,Vendor treasure,
BIG NUGGET,Valuable sellable loot,Vendor treasure,,,
BIG PEARL,Safari Zone catcher,Great Marsh capture tool,Valuable sellable loot,Vendor treasure,
BIG PECKS,Protects Defense from drops,Defense-drop blocking trait,Keeps Defense from falling,protective trait,
BIG ROOT,Boosts recovery from draining moves,Berry-blending ingredient,Drain-healing boost item,Increases Ingrain and Aqua Ring recovery,Hp-Stealing Moves To Let The Holder Recover More Hp-only held item
BIKE VOUCHER,Unlocks progression content,Tradable exchange item,Two-wheeled travel item,Progress-gating key item,Exchangeable collectible
BIKE YELLOW,Two-wheeled travel item,Ride for quick travel,,,
BINACLE,Two-Handed Pokemon,Gen VI Rock/Water species,Water3 egg-group species,,
BIND,Normal physical move,Gen I Normal move,15-power move,,
BINDING BAND,Boosts trapping-move damage,Strengthens multi-turn traps,,,
BIRTH ISLAND,Kanto landmark,Island in Kanto,,,
BISHARP,Sword Blade Pokemon,Gen V Dark/Steel species,Evolves from Pawniard,Humanshape egg-group species,
BITE,Dark physical move,Gen I Dark move,60-power move,flinch-causing move,
BITTER BLADE,Fire physical move,Gen IX Fire move,90-power move,healing move,
BITTER MALICE,Ghost special move,Stat-lowering move,Gen VIII Ghost move,75-power move,debuffing move
BLACEPHALON,Fireworks Pokemon,No-Eggs egg-group species,,,
BLACK AUGURITE,Evolves Scyther into Kleavor Upon Use,Scyther evolution item,Held item for Kleavor Upon Use,Evolution-trigger item,Special Poke Ball
BLACK BELT,type enhancement,,,,
BLACK FLUTE,Repels wild Pokemon,Cuts wild encounter rate,Story or event key item,Unlocking key item,
BLACK GATE,Unova route connector,Unova landmark,Connector gate in Unova,,
BLACK GLASSES,The Holder'S Dark-Type Moves By Power boost item,Boosts Dark moves for The Holder',Dark-move booster,Signature orb for The Holder',Species-specific power orb
BLACK HOLE,Space-Warping ability,Space-Warping power,,,
BLACK MANE HAIR,Unlocks progression content,Progress-gating key item,Story-progress key item,Plot-critical key,
BLACK SLUDGE,Pinch-healing berry,Half-HP recovery berry,,,
BLACKTHORN,Johto city,Johto landmark,Urban landmark,City in Johto,
BLACK TOWER,Unova city,Unova landmark,City in Unova,,
BLANK PLATE,Unlocks progression content,Progress-gating key item,Species-linked power item,Signature battle item,
BLAST BURN,Fire special move,Gen III Fire move,150-power move,,
BLASTOISE,Shellfish Pokemon,Gen I Water species,Evolves from Wartortle,Mega-evolving species,Monster egg-group species
BLASTOISINITE,Blastoise Mega stone,Mega Evolution stone,Held stone for Blastoise,Held Mega stone,Mega trigger stone
BLAZE,Boosts Fire-type moves at low HP,Low-HP Fire boost,Fire-power when weakened,,
BLAZE KICK,Fire physical move,burning move,critical-hit move,Gen III Fire move,85-power move
BLAZIKEN,Blaze Pokemon,Mega form turns Fire/Fighting,Gen III Fire/Fighting species,Evolves from Combusken,Ground egg-group species
BLAZIKENITE,Blaziken Mega stone,Mega Evolution stone,Held stone for Blaziken,Held Mega stone,Mega trigger stone
BLAZING TORQUE,Copies the foe's last move,Fire physical move,burning move,Gen IX Fire move,80-power move
BLIPBUG,Larva Pokemon,Gen VIII Bug species,Bug egg-group species,,
BLISSEY,Happiness Pokemon,Gen II Normal species,Evolves from Chansey,Fairy egg-group species,
BLITZLE,Electrified Pokemon,Gen V Electric species,Ground egg-group species,,
BLIZZARD,Ice special move,Gen I Ice move,110-power move,,
BLOCK,Prevents foes from leaving battle,Normal status move,Gen III Normal move,,
BLOOD MOON,Normal special move,Gen IX Normal move,140-power move,,
BLUE FLARE,Fire special move,burning move,Gen V Fire move,130-power move,
BLUE FLUTE,Wakes a sleeping Pokemon,Sleep remedy,Sleep-curing item,Story or event key item,Unlocking key item
BLUE ORB,Unlocks progression content,Progress-gating key item,Story-progress key item,Species-linked power item,Plot-critical key
BLUK BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,Loamy-soil berry crop
BLUNDER POLICY,Power item for Accuracy,Accuracy-only held item,Accuracy Speed Sharply When A Pokemon Misses With A Move Because boost item,,
BLUSH MOUNTAIN,Site on Route 12,Island location,Alola route,Alola landmark,Route in Alola
BODYGUARD,Protective power,Protective ability,,,
BODY PRESS,Fighting physical move,burning move,Gen VIII Fighting move,80-power move,
BODY SLAM,Normal physical move,paralyzing move,Gen I Normal move,85-power move,
BOLDORE,Ore Pokemon,Gen V Rock species,Evolves from Roggenrola,Mineral egg-group species,
BOLT BEAK,Electric physical move,Gen VIII Electric move,85-power move,switching move,
BOLT STRIKE,Electric physical move,paralyzing move,Gen V Electric move,130-power move,
BOLTUND,Dog Pokemon,Gen VIII Dog Pokemon,Gen VIII Electric species,Evolves from Yamper,Ground egg-group species
BOMBIRDIER,Item Drop Pokemon,Gen IX Flying/Dark species,Flying egg-group species,,
BOND BRIDGE,Island location,Kanto forest,Kanto landmark,Forest in Kanto,
BONE CLUB,Ground physical move,Gen I Ground move,65-power move,flinch-causing move,
BONEMERANG,Ground physical move,Gen I Ground move,50-power move,,
BONE RUSH,Ground physical move,Gen II Ground move,25-power move,,
BONSLY,Bonsai Pokemon,No-Eggs egg-group species,,,
BOOMBURST,Normal special move,Gen VI Normal move,140-power move,,
BOOSTER ENERGY,The Pokemon Strength boost item,Power item for The Pokemon,The Pokemon-only held item,,
BOTTLE CAP,Tradable exchange item,Exchangeable collectible,Valuable sellable loot,Vendor treasure,
BOUFFALANT,Bash Buffalo Pokemon,Gen V Normal species,Ground egg-group species,,
BOUNCE,Flying physical move,Gen III Flying move,85-power move,,
BOUNCY BUBBLE,Water special move,Gen VII Water move,60-power move,,
BOUNSWEET,Fruit Pokemon,Gen VII Grass species,Plant egg-group species,,
BRAIXEN,Fox Pokemon,Gen VI Fire species,Evolves from Fennekin,Ground egg-group species,
BRAMBLEGHAST,Tumbleweed Pokemon,Gen IX Grass/Ghost species,Evolves from Bramblin,Plant egg-group species,
BRAMBLIN,Tumbleweed Pokemon,Gen IX Grass/Ghost species,Plant egg-group species,,
BRANCH POKE,Grass physical move,Gen VIII Grass move,40-power move,,
BRAVA ARENA,Crimson Mirelands area,Hisui village,Ancient regional ruins,Hisui landmark,Village in Hisui
BRAVE BIRD,Flying physical move,Gen IV Flying move,120-power move,,
BRAVIARY,Valiant Pokemon,Gen V Normal/Flying species,Evolves from Rufflet,Flying egg-group species,
BRAWLERS CAVE,Galar landmark,,,,
BREAKING SWIPE,Dragon physical move,Gen VIII Dragon move,60-power move,debuffing move,
BRELOOM,Mushroom Pokemon,Gen III Grass/Fighting species,Evolves from Shroomish,Fairy egg-group species,
BRICK BREAK,Fighting physical move,Gen III Fighting move,75-power move,,
BRIDGE FIELD,Wild Area zone,Galar landmark,,,
BRIDGE GATE,Unova route connector,Unova landmark,Connector gate in Unova,,
BRIGHT POWDER,Accuracy-cutting held item,Held battle item,,,
BRINE,Water special move,Gen IV Water move,65-power move,,
BRIONNE,Pop Star Pokemon,Gen VII Water species,Evolves from Popplio,Water1 egg-group species,
BRONZONG,Bronze Bell Pokemon,Gen IV Steel/Psychic species,Evolves from Bronzor,Mineral egg-group species,
BRONZOR,Bronze Pokemon,Gen IV Steel/Psychic species,Mineral egg-group species,,
BROOKLET HILL,Site on Route 5,Island location,Alola route,Alola landmark,Route in Alola
BRUN WAY,Kalos route,Town-side landmark,Urban landmark,Route in Kalos,Kalos landmark
BRUTAL SWING,Dark physical move,Gen VII Dark move,60-power move,,
BRUTE BONNET,Paradox Pokemon,No-Eggs egg-group species,,,
BRUXISH,Gnash Teeth Pokemon,Gen VII Water/Psychic species,Water2 egg-group species,,
BUBBLE BEAM,Water special move,Gen I Water move,65-power move,debuffing move,
BUDEW,Bud Pokemon,No-Eggs egg-group species,,,
BUG BITE,60-power move,Bug physical move,,,
BUG BUZZ,90-power move,debuffing move,,,
BUG GEM,Held battle item,One-use Bug booster,,,
BUG MEMORY,Species-linked power item,Signature battle item,,,
